Last event arrived at: 17102016


REL1 0 18-10-2016 05:00:00  p008 18.10.2016. 5:00:06

POTKORACENJE STRUJE 0 18-10-2016 05:00:02  p009 18.10.2016. 5:00:06

OTVORENO KOLO 0 18-10-2016 05:00:03  p010 18.10.2016. 5:00:07

REL2 0 18-10-2016 06:45:00  p011 18.10.2016. 6:45:06

REL1 1 18-10-2016 11:02:20  p000 18.10.2016. 11:02:24

REL1 0 18-10-2016 11:02:49  p001 18.10.2016. 11:02:53

REL1 1 18-10-2016 11:03:04  p002 18.10.2016. 11:03:08

NESTANAK NAPONA 1 17-10-2016 16:04:34  p000 18.10.2016. 11:03:39

NESTANAK NAPONA 1 17-10-2016 16:04:34  p000 18.10.2016. 11:03:42

NESTANAK NAPONA 1 17-10-2016 16:04:34  p000 18.10.2016. 11:03:51

NESTANAK NAPONA 1 17-10-2016 16:04:34  p000 18.10.2016. 11:04:03

REL1 1 17-10-2016 16:23:57  p001 18.10.2016. 11:04:03

REL1 0 17-10-2016 16:23:58  p002 18.10.2016. 11:04:03

DOOR EVENT 0 18-10-2016 11:03:54  p003 18.10.2016. 11:04:03

DOOR EVENT 1 18-10-2016 11:03:59  p004 18.10.2016. 11:04:03

DOOR EVENT 0 18-10-2016 11:04:23  p005 18.10.2016. 11:04:08

DOOR EVENT 1 18-10-2016 11:04:26  p006 18.10.2016. 11:04:11

REL1 0 18-10-2016 11:04:21  p003 18.10.2016. 11:04:25

REL1 1 18-10-2016 11:07:00  p004 18.10.2016. 11:07:05

DOOR EVENT 0 18-10-2016 11:07:15  p005 18.10.2016. 11:07:19

DOOR EVENT 1 18-10-2016 11:07:17  p006 18.10.2016. 11:07:22

REL1 0 18-10-2016 11:08:00  p007 18.10.2016. 11:08:06

DOOR EVENT 0 18-10-2016 11:08:37  p008 18.10.2016. 11:08:42

DOOR EVENT 1 18-10-2016 11:08:39  p009 18.10.2016. 11:08:44

NEUSPELO ISKLJUCENJE 1 18-10-2016 11:16:54  p010 18.10.2016. 11:17:00

NEUSPELO ISKLJUCENJE 0 18-10-2016 11:17:00  p011 18.10.2016. 11:17:04

REL1 1 18-10-2016 11:18:59  p012 18.10.2016. 11:19:03

PREKORACENJE STRUJE 1 18-10-2016 11:19:19  p013 18.10.2016. 11:19:23

REL1 0 18-10-2016 11:19:37  p014 18.10.2016. 11:19:41

PREKORACENJE STRUJE 0 18-10-2016 11:19:38  p015 18.10.2016. 11:19:42

REL1 1 18-10-2016 17:00:01  p016 18.10.2016. 17:00:04

REL2 1 18-10-2016 18:00:00  p017 18.10.2016. 18:00:04

